Title,Artist,Album,Duration,FilePath
Die With A Smile,Lady Gaga; Bruno Mars,Die With A Smile,251,https://api.spotify.com/v1/tracks/2plbrEY59IikOBgBGLjaoe
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,210,https://api.spotify.com/v1/tracks/6dOtVTDdiauQNBQEDOtlAB
That’s So True,Gracie Abrams,The Secret of Us (Deluxe),166,https://api.spotify.com/v1/tracks/7ne4VBA60CxGM75vw0EYad
Taste,Sabrina Carpenter,Short n' Sweet,157,https://api.spotify.com/v1/tracks/1d7Ptw3qYcfpdLNL5REhtJ
APT.,ROSÉ; Bruno Mars,APT.,169,https://api.spotify.com/v1/tracks/5vNRhkKd0yEAg8suGBpjeY
Good Luck; Babe!,Chappell Roan,Good Luck; Babe!,218,https://api.spotify.com/v1/tracks/0WbMK4wrZ1wFSty9F7FCgu
Diet Pepsi,Addison Rae,Diet Pepsi,169,https://api.spotify.com/v1/tracks/6MzofobZt2dm0Kf1hTThFz
WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,261,https://api.spotify.com/v1/tracks/3QaPy1KgI7nu9FJEQUgn6h
Sailor Song,Gigi Perez,Sailor Song,211,https://api.spotify.com/v1/tracks/0UYnhUfnUj5adChuAXvLUB
Timeless (with Playboi Carti),The Weeknd; Playboi Carti,Timeless,256,https://api.spotify.com/v1/tracks/1Es7AUAhQvapIcoh3qMKDL
Guess featuring billie eilish,Charli xcx; Billie Eilish,Guess featuring Billie Eilish,145,https://api.spotify.com/v1/tracks/3WOhcATHxK2SLNeP5W3v1v
Please Please Please,Sabrina Carpenter,Please Please Please,186,https://api.spotify.com/v1/tracks/5N3hjp1WNayUPZrA8kJmJP
2 hands,Tate McRae,2 hands,181,https://api.spotify.com/v1/tracks/1f18HzFpegqvH4ibGJyeMJ
A Bar Song (Tipsy),Shaboozey,A Bar Song (Tipsy),171,https://api.spotify.com/v1/tracks/2FQrifJ1N335Ljm3TjTVVf
HOT TO GO!,Chappell Roan,The Rise and Fall of a Midwest Princess,184,https://api.spotify.com/v1/tracks/4xdBrk0nFZaP54vvZj0yx7
Disease,Lady Gaga,Disease,229,https://api.spotify.com/v1/tracks/19KlZwqlT3fguP2BeHF1Q1
Moonlit Floor (Kiss Me),LISA,Moonlit Floor (Kiss Me),155,https://api.spotify.com/v1/tracks/5G345YEhvleYxQLfYUlEFv
Love Somebody,Morgan Wallen,Love Somebody,204,https://api.spotify.com/v1/tracks/7hR22TOX3RorxJPcsz5Wbo
I Love You; I'm Sorry,Gracie Abrams,The Secret of Us,157,https://api.spotify.com/v1/tracks/51rfRCiUSvxXlCSCfIztBy
Move,Adam Port; Stryv; Keinemusik; Orso; Malachiii,Move,177,https://api.spotify.com/v1/tracks/1BJJbSX6muJVF2AK7uH1x4
Sticky (feat. GloRilla; Sexyy Red & Lil Wayne),Tyler; The Creator; GloRilla; Sexyy Red; Lil Wayne,CHROMAKOPIA,255,https://api.spotify.com/v1/tracks/3tFed7YsjGnIfxeLEQwx3R
Espresso,Sabrina Carpenter,Espresso,175,https://api.spotify.com/v1/tracks/2qSkIjg1o9h3YT9RAgYN75
Mantra,JENNIE,Mantra,136,https://api.spotify.com/v1/tracks/2CspwnypzT7rcWI9RfsoSb
Qué Pasaría...,Rauw Alejandro; Bad Bunny,Cosa Nuestra,182,https://api.spotify.com/v1/tracks/0l0vcZMU7AOeQmUIREoI2U
NEW DROP,Don Toliver,HARDSTONE PSYCHO,217,https://api.spotify.com/v1/tracks/2c7z5oRcPBbqRaBY2mLWcf
I Had Some Help (Feat. Morgan Wallen),Post Malone; Morgan Wallen,I Had Some Help,178,https://api.spotify.com/v1/tracks/7221xIgOnuakPdLqT0F3nP
Too Sweet,Hozier,Unheard,251,https://api.spotify.com/v1/tracks/4IadxL6BUymXlh8RCJJu7T
No One Noticed,The Marías,Submarine,236,https://api.spotify.com/v1/tracks/3siwsiaEoU4Kuuc9WKMUy5
Tu Boda,Oscar Maydon; Fuerza Regida,Tu Boda,225,https://api.spotify.com/v1/tracks/1cOboCuWYI2osTOfolMRS6
Stargazing,Myles Smith,Stargazing,172,https://api.spotify.com/v1/tracks/3Vr3zh0r7ALn8VLqCiRR10
WHATCHU KNO ABOUT ME (with Sexyy Red),GloRilla; Sexyy Red,WHATCHU KNO ABOUT ME (with Sexyy Red),149,https://api.spotify.com/v1/tracks/4VI2Y5xg4gYynQqNQNQbTN
we can't be friends (wait for your love),Ariana Grande,eternal sunshine,228,https://api.spotify.com/v1/tracks/46kspZSY3aKmwQe7O77fCC
Beautiful Things,Benson Boone,Beautiful Things,180,https://api.spotify.com/v1/tracks/6tNQ70jh4OwmPGpYy6R2o9
DEGENERE 👑 (feat. benny blanco),Myke Towers; benny blanco,LA PANTERA NEGRA (DELUXE),130,https://api.spotify.com/v1/tracks/0qeIFEGRQqHoaJtLCl0U73
Touch,KATSEYE,Touch,129,https://api.spotify.com/v1/tracks/6aJn7Cst74cj4lNIiPRgav
Lose Control,Teddy Swims,I've Tried Everything But Therapy (Part 1),210,https://api.spotify.com/v1/tracks/17phhZDn6oGtzMe56NuWvj
Belong Together,Mark Ambor,Belong Together,148,https://api.spotify.com/v1/tracks/5uQ7de4EWjb3rkcFxyEOpu
Si Antes Te Hubiera Conocido,KAROL G,Si Antes Te Hubiera Conocido,195,https://api.spotify.com/v1/tracks/6WatFBLVB0x077xWeoVc2k
End of Beginning,Djo,DECIDE,159,https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD
Fortnight (feat. Post Malone),Taylor Swift; Post Malone,THE TORTURED POETS DEPARTMENT,228,https://api.spotify.com/v1/tracks/2OzhQlSqBEmt7hmkYxfT6m
Q U E V A S H A C E R H O Y ?,Omar Courtz; De La Rose,PRIMERA MUSA,223,https://api.spotify.com/v1/tracks/0Sr7ssScx54yxdM2ols7nW
Not Like Us,Kendrick Lamar,Not Like Us,274,https://api.spotify.com/v1/tracks/6AI3ezQ4o3HUoP6Dhudph3
Running Wild,Jin,Happy,151,https://api.spotify.com/v1/tracks/4p7DTkyrKqT98xlIwYYfXz
Embrace It,Ndotz,Embrace It,104,https://api.spotify.com/v1/tracks/0io16MKpbeDIdYzmGpQaES
The Emptiness Machine,Linkin Park,The Emptiness Machine,190,https://api.spotify.com/v1/tracks/2PnlsTsOTLE5jnBnNe2K0A
Who,Jimin,MUSE,170,https://api.spotify.com/v1/tracks/7tI8dRuH2Yc6RuoTjxo4dU
Hotel California - 2013 Remaster,Eagles,Hotel California (2013 Remaster),391,https://api.spotify.com/v1/tracks/40riOy7x9W7GXjyGp4pjAv
Thunderstruck,AC/DC,The Razors Edge,292,https://api.spotify.com/v1/tracks/57bgtoPSgt236HzfBOd8kj
Seven Nation Army,The White Stripes,Elephant,232,https://api.spotify.com/v1/tracks/3dPQuX8Gs42Y7b454ybpMR
Creep,Radiohead,Pablo Honey,238,https://api.spotify.com/v1/tracks/70LcF31zb1H0PyJoS1Sx1r
Come As You Are,Nirvana,Nevermind (Remastered),218,https://api.spotify.com/v1/tracks/4P5KoWXOxwuobLmHXLMobV
Californication,Red Hot Chili Peppers,Californication (Deluxe Edition),329,https://api.spotify.com/v1/tracks/48UPSzbZjgc449aqz8bxox
Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction,356,https://api.spotify.com/v1/tracks/7snQQk1zcKl8gZ92AnueZW
Paint It; Black,The Rolling Stones,Aftermath,202,https://api.spotify.com/v1/tracks/63T7DJ1AFDD6Bn8VzG6JE8
Dreams - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),257,https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz
Everlong,Foo Fighters,The Colour And The Shape,250,https://api.spotify.com/v1/tracks/5UWwZ5lm5PKu6eKsHAGxOk
I Love Rock 'N Roll,Joan Jett & the Blackhearts,I Love Rock 'N' Roll (Expanded Edition),175,https://api.spotify.com/v1/tracks/2Cdvbe2G4hZsnhNMKyGrie
Dust in the Wind,Kansas,Point Of Know Return (Expanded Edition),206,https://api.spotify.com/v1/tracks/6zeE5tKyr8Nu882DQhhSQI
Another Brick in the Wall; Pt. 2,Pink Floyd,The Wall,238,https://api.spotify.com/v1/tracks/4gMgiXfqyzZLMhsksGmbQV
Runaway,Bon Jovi,Bon Jovi,230,https://api.spotify.com/v1/tracks/0X1sqQ652p1sceKM2nJlIJ
Basket Case,Green Day,Dookie,181,https://api.spotify.com/v1/tracks/6L89mwZXSOwYl76YXfX13s
Under the Bridge,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),264,https://api.spotify.com/v1/tracks/3d9DChrdc6BOeFsbrZ3Is0
White Wedding - Pt. 1,Billy Idol,Billy Idol,252,https://api.spotify.com/v1/tracks/1gzIbdFnGJ226LTl0Cn2SX
You Shook Me All Night Long,AC/DC,Back In Black,210,https://api.spotify.com/v1/tracks/2SiXAy7TuUkycRVbbWDEpo
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,Out Of Our Heads,222,https://api.spotify.com/v1/tracks/2PzU4IB8Dr6mxV3lHuaG34
Starman - 2012 Remaster,David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),254,https://api.spotify.com/v1/tracks/0pQskrTITgmCMyr85tb9qq
Whole Lotta Love - 1990 Remaster,Led Zeppelin,Led Zeppelin II (1994 Remaster),333,https://api.spotify.com/v1/tracks/0hCB0YR03f6AmQaHbwWDe8
Riders on the Storm,The Doors,L.A. Woman,434,https://api.spotify.com/v1/tracks/14XWXWv5FoCbFzLksawpEe
Even Flow,Pearl Jam,Ten,292,https://api.spotify.com/v1/tracks/6QewNVIDKdSl8Y3ycuHIei
Born in the U.S.A.,Bruce Springsteen,Born In The U.S.A.,278,https://api.spotify.com/v1/tracks/0dOg1ySSI7NkpAe89Zo0b9
Bitter Sweet Symphony - Remastered 2016,The Verve,Urban Hymns (Remastered 2016),357,https://api.spotify.com/v1/tracks/57iDDD9N9tTWe75x6qhStw
Don't Cry (Original),Guns N' Roses,Use Your Illusion I,283,https://api.spotify.com/v1/tracks/2N2yrmodOnVF10mKvItC9P
All Along the Watchtower,Jimi Hendrix,Electric Ladyland,240,https://api.spotify.com/v1/tracks/2aoo2jlRnM3A0NyLQqMN2f
In The Air Tonight - 2015 Remastered,Phil Collins,Face Value (Deluxe Editon),336,https://api.spotify.com/v1/tracks/18AXbzPzBS8Y3AkgSxzJPb
Psycho Killer - 2005 Remaster,Talking Heads,Talking Heads '77 (Deluxe Version),261,https://api.spotify.com/v1/tracks/1i6N76fftMZhijOzFQ5ZtL
Are You Gonna Go My Way,Lenny Kravitz,Are You Gonna Go My Way,211,https://api.spotify.com/v1/tracks/45Ia1U4KtIjAPPU7Wv1Sea
Master of Puppets (Remastered),Metallica,Master of Puppets (Remastered Deluxe Box Set),515,https://api.spotify.com/v1/tracks/54bm2e3tk8cliUz3VSdCPZ
Everywhere - 2017 Remaster,Fleetwood Mac,Tango In the Night (Deluxe Edition),226,https://api.spotify.com/v1/tracks/254bXAqt3zP6P50BdQvEsq
Have You Ever Seen The Rain,Creedence Clearwater Revival,Pendulum (Expanded Edition),160,https://api.spotify.com/v1/tracks/2LawezPeJhN4AWuSB0GtAU
Just What I Needed,The Cars,The Cars,225,https://api.spotify.com/v1/tracks/4alHo6RGd0D3OUbTPExTHN
Smells Like Teen Spirit,Nirvana,Nevermind (Remastered),301,https://api.spotify.com/v1/tracks/5ghIJDpPoe3CfHMGu71E6T
Killing In The Name,Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition),313,https://api.spotify.com/v1/tracks/59WN2psjkt1tyaxjspN8fp
Come Together - Remastered 2009,The Beatles,Abbey Road (Remastered),259,https://api.spotify.com/v1/tracks/2EqlS6tkEnglzr7tkKAAYD
Carry on Wayward Son,Kansas,Leftoverture (Expanded Edition),323,https://api.spotify.com/v1/tracks/4DMKwE2E2iYDKY01C335Uw
Song 2 - 2012 Remaster,Blur,Blur (Special Edition),121,https://api.spotify.com/v1/tracks/1FTSo4v6BOZH9QxKc3MbVM
Where Is My Mind? - 2007 Remaster,Pixies,Surfer Rosa (2007 Remaster),234,https://api.spotify.com/v1/tracks/7wCmS9TTVUcIhRalDYFgPy
Should I Stay or Should I Go - Remastered,The Clash,Combat Rock (Remastered),188,https://api.spotify.com/v1/tracks/39shmbIHICJ2Wxnk1fPSdz
Another One Bites The Dust - Remastered 2011,Queen,The Game (Deluxe Remastered Version),214,https://api.spotify.com/v1/tracks/57JVGBtBLCfHw2muk5416J
Uprising,Muse,The Resistance,304,https://api.spotify.com/v1/tracks/4VqPOruhp5EdPBeR92t6lQ
For What It's Worth,Buffalo Springfield,Buffalo Springfield,153,https://api.spotify.com/v1/tracks/1qRA5BS78u3gME0loMl9AA
You Really Got Me - 2015 Remaster,Van Halen,Van Halen (Remastered),156,https://api.spotify.com/v1/tracks/0upLyFR8Rr52ZpMp5esQoq
Black Hole Sun,Soundgarden,Superunknown (Deluxe Edition),318,https://api.spotify.com/v1/tracks/2EoOZnxNgtmZaD8uUmz2nD
Black Magic Woman - Single Version,Santana,Santana's Greatest Hits,196,https://api.spotify.com/v1/tracks/4YMQXzscifAREG0a7KNGhB
Fly Away,Lenny Kravitz,5,221,https://api.spotify.com/v1/tracks/1OxcIUqVmVYxT6427tbhDW
Message In A Bottle,The Police,Reggatta De Blanc (Remastered 2003),290,https://api.spotify.com/v1/tracks/1oYYd2gnWZYrt89EBXdFiO
Heroes - 2017 Remaster,David Bowie,Heroes (2017 Remaster),371,https://api.spotify.com/v1/tracks/7Jh1bpe76CNTCgdgAdBw4Z
